center_x,center_y,positive_prob,negative_prob,label,box
1396,284,0.531354,0.468646,positive,"(1380, 268, 1412, 300)"
1414,290,0.533627,0.466373,positive,"(1398, 274, 1430, 306)"
1386,302,0.535954,0.464046,positive,"(1370, 286, 1402, 318)"
1404,308,0.522660,0.477340,positive,"(1388, 292, 1420, 324)"
1391,326,0.535616,0.464384,positive,"(1375, 310, 1407, 342)"
1409,326,0.538790,0.461210,positive,"(1393, 310, 1425, 342)"
262,443,0.530179,0.469821,positive,"(246, 427, 278, 459)"
244,454,0.534626,0.465374,positive,"(228, 438, 260, 470)"
262,471,0.540256,0.459744,positive,"(246, 455, 278, 487)"
243,472,0.536220,0.463780,positive,"(227, 456, 259, 488)"
1192,1162,0.525457,0.474543,positive,"(1176, 1146, 1208, 1178)"
498,1366,0.532632,0.467368,positive,"(482, 1350, 514, 1382)"
479,1373,0.534347,0.465653,positive,"(463, 1357, 495, 1389)"
461,1384,0.536491,0.463509,positive,"(445, 1368, 477, 1400)"
497,1384,0.542123,0.457877,positive,"(481, 1368, 513, 1400)"
479,1391,0.543894,0.456106,positive,"(463, 1375, 495, 1407)"
450,1402,0.534115,0.465885,positive,"(434, 1386, 466, 1418)"
468,1409,0.538510,0.461490,positive,"(452, 1393, 484, 1425)"
1467,169,0.520508,0.479492,positive,"(1451, 153, 1483, 185)"
550,828,0.520021,0.479979,positive,"(534, 812, 566, 844)"
825,147,0.519697,0.480303,positive,"(809, 131, 841, 163)"
714,310,0.517064,0.482935,positive,"(698, 294, 730, 326)"
479,1098,0.518909,0.481091,positive,"(463, 1082, 495, 1114)"
238,1077,0.516810,0.483189,positive,"(222, 1061, 254, 1093)"
1230,515,0.519349,0.480651,positive,"(1214, 499, 1246, 531)"
917,521,0.518737,0.481263,positive,"(901, 505, 933, 537)"
1280,517,0.518694,0.481306,positive,"(1264, 501, 1296, 533)"
753,971,0.519667,0.480333,positive,"(737, 955, 769, 987)"
1479,340,0.518942,0.481058,positive,"(1463, 324, 1495, 356)"
882,636,0.518895,0.481105,positive,"(866, 620, 898, 652)"
480,705,0.518026,0.481974,positive,"(464, 689, 496, 721)"
1334,422,0.518001,0.481999,positive,"(1318, 406, 1350, 438)"
785,848,0.518230,0.481770,positive,"(769, 832, 801, 864)"
429,613,0.516169,0.483831,positive,"(413, 597, 445, 629)"
467,947,0.519243,0.480757,positive,"(451, 931, 483, 963)"
1318,597,0.516753,0.483247,positive,"(1302, 581, 1334, 613)"
